song_id,item_id,name,full_name,genre,artist_name,original_bga_yn,loop_bga_yn,composed_by,singer,feat_by,arranged_by,visualized_by,cost_game_point,cost_game_cash,flag,status,free_yn,hidden_yn,open_yn,track_id,mod_date,update
1,1,oblivion,OBLIVION ,Dramatic Trance,ESTi,Y,N,ESTi,,,,D-myo,0,0,0,,Y,N,Y,27,2.01E+13,0
2,2,raisemeup,Raise me up,Rock & Pop,Planetboom,Y,N,Planetboom,Miya,,,"PUNEW, Super52",0,0,0,,Y,N,Y,40,2.01E+13,0
3,3,lover,Lover,Barbie House,NDLee,Y,N,NDLee,Young,,,"MandRill, HooN",0,0,0,,Y,N,Y,1,2.01E+13,0
4,4,tdot,In the Tdot,Electro HipHop,Mr.Thoro,Y,N,C. Morgan,,,,"DumpingLIFE, ENTIA J, Eco",0,0,0,,Y,N,Y,348,2.01E+13,0
5,5,rayof,Ray of Illuminati,Euro Dance,ESTi,Y,N,ESTi,,,,"KIM YS, D",0,0,0,,Y,N,Y,58,2.02E+13,0
6,6,etnalftsyvox,Eternal Fantasy (Miya Vocal Mix),Fantasy Pop,XeoN,Y,N,XeoN,Miya,Planetboom(on Guitar),,"NG, HooN",0,0,0,,Y,N,Y,51,2.01E+13,0
7,7,symphony40,모짜르트 교향곡 40번 1악장,Classic Remix,Kim Chang Hoon,Y,N,Mozart,,,Kim Chang Hoon,"SAGWANAMU, ENTIA J",0,0,0,,Y,N,Y,277,2.02E+13,0
8,8,sixpence,A Song of Sixpence,Toy box,makou,Y,N,makou,Itsuki and Her Friends,,,"GiggSan, SAREE",0,0,0,,Y,N,Y,334,2.01E+13,0
9,9,becomemy,Become Myself,Hard Core,PIA,Y,N,"Kibum, Yohan",Yohan,,,moses,0,0,0,,Y,N,Y,304,2.01E+13,0
10,10,baramege,바람에게 부탁해,Fantasy pop,Forte Escape,Y,N,Forte Escape,Miya,,,TAKO ASHIN,0,0,0,,Y,N,Y,28,2.01E+13,0
11,11,signal,SigNalize,Electro Trance,Paul Bazooka,Y,N,Paul Bazooka,,,,Z_B,0,0,0,,Y,N,Y,319,2.01E+13,0
12,12,ghost,유령,Fusion HipHop,STi,Y,N,STi,수정,"STi (on Rap), 안지연 (on Chorus) ",,"Tari, NOVA",0,0,0,,Y,N,Y,236,2.01E+13,0
13,13,seolaim2,설레임 Part.2,Cute Pop,NDLee,Y,N,NDLee,Miya,,,"Lee Woo Chul, shin 105",0,0,0,,Y,N,Y,61,2.01E+13,0
14,14,fury,Fury,Punk Rock,Sugardonut,Y,N,Sugardonut,Sugardonut,,,"Y.J, ZOZO, ssamanko",0,0,0,,Y,N,Y,291,2.01E+13,0
15,15,kungfu,Kung-Fu Rider,Oriental Funk,AstroKid,Y,N,AstroKid,,,,Eco,0,0,0,,Y,N,Y,317,2.01E+13,0
16,16,gobaek1,"고백, 꽃, 늑대",Piano Ballad,ReX,Y,N,ReX,,,,D,0,0,0,,Y,N,Y,282,2.01E+13,0
17,17,sweetshining,Sweet Shining Shooting Star,Acin House,CROOVE,Y,N,CROOVE,So Fly,JC(on Rap),,"H2SO4, Jin",0,0,0,,Y,N,Y,264,2.01E+13,0
18,18,ladymade,Ladymade Star,Space Idol Pop,ESTi,Y,N,ESTi,Sanch,,,TIV,0,0,0,,Y,N,Y,57,2.01E+13,0
19,19,shiningmyboy,Shining My Boy,Ani Pop,AstroKid,Y,N,AstroKid,Lee Jung Eun,,,"Young-in, HooN",0,0,0,,Y,N,Y,332,2.01E+13,0
20,20,forever,영원,Mordern Rock,BEXTER,Y,N,BEXTER,Miya,Planetboom(on Guitar),,"GODO, CARROTJUICE",0,0,0,,Y,N,Y,283,2.01E+13,0
21,21,outlawreborn,OUT LAW - Reborn,Nu Skool Breakz,Mr.Funky,Y,N,CROOVE,,JC(on Rap),Mr.Funky,D,0,0,0,,Y,N,Y,297,2.01E+13,0
22,22,goneastray,Gone Astray,Progressive House,makou,Y,N,makou,Etsuko Yusa,NieN (on Guitar),,"Eco, Xloth",0,0,0,,Y,N,Y,309,2.01E+13,0
23,23,lonely,Mr.Lonely,Hybrid Rock,NieN,Y,N,NieN,Zim,,,AJ,0,0,0,,Y,N,Y,350,2.01E+13,0
24,24,egg,EGG,Light Pop,Nauts,Y,N,Nauts,ZeeN,BOSCO (on Guitar),,"Armcho, HooN",0,0,0,,Y,N,Y,35,2.01E+13,0
25,25,monoxide,MonoXide,Planet Core,Planetboom,Y,N,Planetboom,,,,"PANCHOK, 79C",0,0,0,,Y,N,Y,299,2.01E+13,0
26,26,blythe,Blythe,Synth DnB,M2U,Y,N,M2U,Tari,,,D,0,0,0,,Y,N,Y,239,2.01E+13,1
27,27,orbital,OrBiTal,Dublectrance,Paul Bazooka,Y,N,Paul Bazooka,,5han (on Voice),,Eco,0,0,0,,Y,N,Y,351,2.01E+13,0
28,28,myheart,"My Heart, My Soul",R&B Slow,3rd Coast,Y,N,3rd Coast,So Fly,JC(on Rap),,"SAGWANAMU, jo jeong joo",0,0,0,,Y,N,Y,321,2.01E+13,0
29,29,newday,Now a New Day,Electric Pop,Sui.Jay,Y,N,Sui.Jay,Sui.Jay,,,"BF, Jin",0,0,0,,Y,N,Y,222,2.01E+13,0
30,30,leaveme,Leave me Alone,Hard Core,NieN,Y,N,NieN,NieN,,,"JAY, Z_B",0,0,0,,Y,N,Y,307,2.01E+13,0
31,31,renovation,Renovation,Melodic Trance,XeoN,Y,N,XeoN,,,,"wony, ENTIA J",0,0,0,,Y,N,Y,330,2.01E+13,0
