item_id,name,description,summary
1,OBLIVION ,Genre : Dramatic Trance\nArtist : ESTi,
2,Raise me up,Genre : Rock & Pop\nArtist : Planetboom,
3,Lover,Genre : Barbie House\nArtist : NDLee,
4,In the Tdot,Genre : Electro Hiphop\nArtist : Mr.Thoro,
5,Ray of Illuminati,Genre : Euro Dance\nArtist : ESTi,
6,Eternal Fantasy (Miya Vocal Mix),Genre : Fantasy Pop\nArtist : XeoN,
7,Mozart Symphony NO.40,Genre : Classic Remix\nArtist : Kim Chang Hoon,
8,A Song of Sixpence,Genre : Toy Box\nArtist : makou,
9,Become Myself,Genre : Hard Core\nArtist : PIA,
10,Ask to Wind,Genre : Fantasy Pop\nArtist : Forte Escape,
11,SigNalize,Genre : Electro Trance\nArtist : Paul Bazooka,
12,Ghost,Genre : Fusion HipHop\nArtist : STi,
13,Heart Beat Part.2,Genre : Cute Pop\nArtist : NDLee,
14,Fury,Genre : Punk Rock\nArtist : Sugardonut,
15,Kung-Fu Rider,Genre : Oriental Funk\nArtist : AstroKid,
16,"Propose, Flower, Wolf PART.1",Genre : Piano Ballad\nArtist : ReX,
17,Sweet Shining Shooting Star,Genre : Acin House\nArtist : CROOVE,
18,Ladymade Star,Genre : Space Idol Pop\nArtist : ESTi,
19,Shining My Boy,Genre : Ani Pop\nArtist : AstroKid,
20,Forever,Genre : Mordern Rock\nArtist : BEXTER,
21,OUT LAW - Reborn,Genre : Nu Skool Breakz\nArtist : Mr.Funky,
22,Gone Astray,Genre : Progressive House\nArtist : makou,
23,Mr.Lonely,Genre : Hybrid Rock\nArtist : NieN,
24,EGG,Genre : Light Pop\nArtist : Nauts,
25,MonoXide,Genre : Planet Core\nArtist : Planetboom,
26,Blythe,Genre : Synth DnB\nArtist : M2U,
27,OrBiTal,Genre : Dublectrance\nArtist : Paul Bazooka,
28,"My Heart, My Soul",Genre : R&B Slow\nArtist : 3rd Coast,
29,Now a New Day,Genre : Electric Pop\nArtist : Sui.Jay,
30,Leave me Alone,Genre : Hard Core\nArtist : NieN,
31,Renovation,Genre : Melodic Trance\nArtist : XeoN,
32,Mellow D Fantasy,Genre : K-Pop\nArtist : NieN,
33,La Campanella : Nu Rave,Genre : Symphonic Rave\nArtist : cranky,
34,First Kiss,Genre : Dance Pop\nArtist : BJJ,
35,Luv Yourself,Genre : Club Dance\nArtist : NDLee,
36,In My Heart,Genre : House Pop\nArtist : Tsukasa,
37,Y,Genre : Acid House\nArtist : NDLee,
38,Angel,Genre : Euro Dance\nArtist : Laurent Newfield & Ravenant,
39,Alone,Genre : Heal\nArtist : Nauts,
40,Watch Your Step,Genre : 90's Dance\nArtist : XeoN,
41,Love is Beautiful,Genre : Flipper's Rock\nArtist : Electronic Boutique,
42,Black Swan,Genre : Electronic Waltz\nArtist : TAK,
43,Get On Top,Genre : P-funk\nArtist : Planetboom,
44,Trip,Genre : Dance Pop\nArtist : NieN,
45,The MAX,Genre : Acid Dance\nArtist : NDLee,
46,Cosmic Fantastic Lovesong,Genre : Ani Pop\nArtist : DINY,
47,Light House,Genre : Happy Core\nArtist : xxdbxx,
48,Just for Today,Genre : Modern Rock\nArtist : J Minus,
49,I Want You,Genre : House Dance\nArtist : Lin-G,
50,Heart of Witch,Genre : Classical Trance\nArtist : ReX,
51,Piano Concerto NO.1,Genre : Classic Remix\nArtist : WavFactory,
52,Love¡?panic,Genre : Acoustic Pop\nArtist : hiyong,
53,VORTEX,Genre : Full On\nArtist : Electronic Boutique,
54,Mukilteo Beach,Genre : Maimi DnB\nArtist : CROOVE,
55,Retention,Genre : Ethnic Groove\nArtist : XeoN,
56,Luv is True,Genre : Luv Pop\nArtist : 3rd Coast,
57,DIVINE SERVICE,Genre : Ethnic Techno\nArtist : Electronic Boutique,
58,Cherokee,Genre : Trance Fusion\nArtist : xxdbxx,
59,Take on Me,Genre : House Dance\nArtist : Cuve,
60,Everything,Genre : House Dance\nArtist : 3rd Coast,
61,SuperSonic (Mr.Funky Remix),Genre : Nu Disco\nArtist : Mr.Funky,
62,Keys to the world,Genre : Planet Core\nArtist : Planetboom,
63,Every Morning,Genre : 80s 8bit\nArtist : NDLee,
64,Fate,Genre : Fusion Hip Hop\nArtist : STi,
65,Brand NEW Days,Genre : Pop Rock\nArtist : Planetboom,
66,Ruti'n,Genre : Urban Pop\nArtist : BEXTER,
67,Festa Nova,Genre : Tropical Jazz\nArtist : TerraMycin,
68,SuperSonic 2011,Genre : Rock Band\nArtist : Pentavision Sound LAB,
69,STOP,Genre : BigBand HOUSE\nArtist : 3rd Coast,
70,Desperado,Genre : Electronic Funk\nArtist : CROOVE,
71,Starlight Garden,Genre : Starlight Pop\nArtist : vneld,
72,Thor,Genre : Melodic Trance\nArtist : XeoN,
73,Fermion,Genre : Psychedelic Trance\nArtist : makou,
74,Remember,Genre : K-POP\nArtist : Lin-G,
75,Here in the Moment,Genre : Latin House\nArtist : Ruby Tuesday,
76,SON OF SUN,Genre : Gabber\nArtist : Hosoe Shinji,
77,Hello Pinky,Genre : HiFi POP\nArtist : NieN,
78,Someday,Genre : 90's Pop\nArtist : NieN,
79,Your Own Miracle,Genre : Miracle Pop\nArtist : Ruby Tuesday,
80,The Guilty,Genre : Speed Funk\nArtist : P'sycho-Remi,
81,Rage Of Demon,Genre : Nu Metal\nArtist : NieN,
82,Season (Warm Mix),Genre : Electronic Soul\nArtist : makou,
83,Ask to Wind Live Mix,Genre : Live Pop\nArtist : Forte Escape,
84,Dream of Winds,Genre : Melodic Trance\nArtist : XeoN,
85,Fallen Angel,Genre : Modern Rock\nArtist : DJ Mocha,
86,Hanzup!,Genre : Hip House\nArtist : Mr.Funky,
87,You & Me,Genre : K-POP\nArtist : NieN,
88,Airwave,Genre : Melodic Trance\nArtist : ReX,
89,Burn It Down,Genre : Industrial\nArtist : P'sycho-Remi,
90,Never Say,Genre : Jungle Pop\nArtist : NDLee,
91,Miles,Genre : Electro Fusion\nArtist : Electronic Boutique,
92,Emblem,Genre : Irish Dance\nArtist : makou,
93,Thor (Deep'in Absonant Mix),Genre : Melodic Trance\nArtist : XeoN,
94,HEXAD,Genre : Electro House\nArtist : Electronic Boutique,
95,Dual Strikers,Genre : Techno Trance\nArtist : 7 Sequence,
96,Puzzler,Genre : Toy Pop\nArtist : Electronic Boutique,
97,SIN,Genre : Drum n Bass\nArtist : ESTi,
98,You should get over me,Genre : 90's Rock\nArtist : Jessica Wolff,
